state,exception
AL,local_laws
AZ,local_laws
CT,local_laws
DE,local_laws
FL,local_laws
GA,local_laws
HI,local_laws
ID,local_laws
IL,local_laws
IN,local_laws
IA,local_laws
KS,local_laws
KY,local_laws
LA,local_laws
ME,local_laws
MA,local_laws
MI,local_laws
MS,local_laws
MO,local_laws
MT,local_laws
NE,local_laws
NV,local_laws
NH,local_laws
NC,local_laws
ND,local_laws
OH,local_laws
OK,local_laws
OR,local_laws
PA,local_laws
RI,local_laws
SC,local_laws
SD,local_laws
TX,local_laws
UT,local_laws
VT,local_laws
VA,local_laws
WV,mandatory_disclosures
WV,local_laws
WI,local_laws
WY,lease_termination
WY,local_laws
